Time (sec),Calculated Load (g/rev),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Boost (PSI),TD Boost Error (PSI),A/F Learning 1 (%),Dynamic Adv. (°),Ignition Timing (°),MAF (g/s),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%)
10.080,1.02,1.000,0.00,0.00,-3.04,4.53,-0.78,4.81,15.00,30.21,2.16,1686,20.4,87.45
10.414,1.09,1.000,0.00,0.00,-2.30,0.36,-0.78,5.31,13.50,25.57,2.10,1368,20.0,89.80
10.745,1.08,1.000,0.00,0.00,-2.15,0.69,-0.78,5.25,15.00,30.48,2.18,1556,22.0,89.80
11.078,1.18,1.000,0.00,0.00,-1.70,0.63,-0.78,5.63,12.50,32.70,2.20,1612,22.0,89.02
11.432,1.18,1.000,0.00,0.00,-1.62,0.56,-0.78,5.57,14.00,33.50,2.26,1745,22.7,84.71
11.785,1.16,1.000,0.00,0.00,-1.58,0.58,-0.78,5.42,17.00,35.31,2.28,1815,22.7,81.57
12.122,1.14,1.000,0.00,0.00,-1.50,-1.68,-0.78,5.18,19.50,33.26,2.20,1934,14.9,72.94
12.453,0.47,1.000,0.00,0.00,-8.22,-2.87,-0.78,0.00,23.00,7.37,1.48,2022,7.1,0.00
12.794,0.25,1.000,0.00,0.00,-10.44,-1.22,1.56,0.00,13.50,6.35,1.44,1603,7.1,0.00
13.126,0.35,1.000,0.00,0.00,-8.80,2.66,0.78,0.00,23.00,15.79,1.86,1310,12.5,0.00
13.456,0.66,1.000,0.00,0.00,-5.63,0.25,-0.78,1.88,32.50,17.54,1.94,1281,16.5,0.00
13.790,1.20,1.000,0.00,0.00,-0.07,1.93,-0.78,5.59,13.00,29.56,2.22,1376,82.4,89.80
14.122,1.32,1.000,0.00,0.00,0.57,2.65,-0.78,5.60,10.50,33.13,2.22,1438,100.0,89.80
14.452,1.37,1.000,0.00,0.00,0.89,2.74,-0.78,5.57,10.00,35.52,2.30,1510,100.0,89.80
14.788,1.42,1.000,0.00,0.00,1.23,3.06,-0.78,5.60,9.50,38.47,2.40,1578,100.0,89.80
15.126,1.46,1.000,0.00,0.00,1.54,3.75,-0.78,5.58,9.00,40.02,2.42,1669,100.0,88.24
15.459,1.49,1.000,0.00,0.00,1.91,4.45,-0.78,5.64,10.00,41.90,2.42,1714,100.0,85.88
15.788,1.49,1.000,0.00,0.00,2.20,5.61,-0.78,5.66,11.00,44.06,2.48,1794,100.0,83.14
16.121,1.50,1.000,0.00,0.00,2.44,7.13,-0.78,5.66,12.00,46.31,2.50,1871,100.0,79.22
16.478,1.51,1.000,0.00,0.00,2.70,8.85,-0.78,5.70,12.50,48.90,2.50,1956,100.0,76.86
16.808,1.53,1.000,0.00,0.00,2.98,10.61,0.00,5.75,13.00,51.22,2.56,2057,100.0,89.41
17.146,1.56,1.000,0.00,0.00,3.25,11.49,0.00,5.81,14.50,55.53,2.66,2148,100.0,87.06
17.476,1.62,1.000,0.00,0.00,3.70,11.95,0.00,5.96,14.00,60.77,2.68,2228,100.0,82.35
17.808,1.71,1.000,0.00,0.00,4.31,12.04,0.00,6.14,14.50,66.72,2.76,2310,100.0,80.78
18.167,1.84,1.000,0.00,0.00,5.21,12.12,0.00,6.39,15.00,75.91,2.90,2488,100.0,76.86
18.499,1.96,1.000,0.00,0.00,6.36,11.21,0.00,6.63,15.00,84.71,2.92,2612,100.0,74.12
18.836,2.12,1.000,0.00,0.00,7.81,9.93,0.00,6.68,13.50,97.62,3.06,2690,100.0,70.98
19.163,2.34,1.000,0.00,0.00,9.80,7.89,0.00,6.68,13.00,115.25,3.28,2823,100.0,68.63
19.498,2.62,1.000,0.00,0.00,12.30,5.44,0.00,6.48,12.00,133.59,3.38,2964,100.0,69.02
19.836,2.90,1.000,0.00,0.00,14.17,3.66,0.00,6.20,12.00,151.94,3.54,3114,100.0,69.41
20.171,3.01,1.000,0.00,0.00,15.72,2.10,0.00,5.98,12.50,163.49,3.66,3387,100.0,69.80
20.506,3.03,1.000,0.00,0.00,16.25,1.45,0.00,5.98,12.50,175.32,3.66,3570,100.0,70.20
20.835,3.04,1.000,0.00,0.00,16.67,1.15,0.00,5.98,13.00,186.35,3.76,3697,100.0,70.59
21.168,3.03,1.000,0.00,0.00,16.80,1.02,0.00,5.98,13.00,193.87,3.78,3864,100.0,70.98
21.496,3.04,1.000,0.00,0.00,16.76,1.11,0.00,5.98,13.50,205.72,3.86,4080,100.0,71.76
21.833,3.12,1.000,0.00,0.00,16.99,0.77,0.00,5.98,13.50,222.46,3.92,4266,100.0,72.16
22.164,3.18,1.000,0.00,0.00,16.90,0.85,0.00,5.98,13.50,236.72,3.98,4382,100.0,72.55
22.501,3.17,1.000,0.00,0.00,16.85,0.88,0.00,5.98,13.50,242.73,4.00,4623,100.0,72.94
22.835,3.13,1.000,0.00,0.00,16.76,1.02,0.00,5.98,13.50,249.75,4.04,4842,100.0,73.33
23.162,3.07,1.000,0.00,0.00,16.76,0.77,0.00,5.98,13.50,253.26,4.06,4928,100.0,73.73
23.502,3.02,1.000,0.00,0.00,16.72,0.55,0.00,5.98,13.50,259.29,4.10,5173,100.0,74.12
23.835,2.98,1.000,0.00,0.00,16.30,0.50,0.00,5.98,14.00,264.33,4.10,5262,100.0,74.90
24.162,2.95,1.000,0.00,0.00,16.18,0.17,0.00,5.98,14.50,266.43,4.14,5498,100.0,74.90
24.496,2.89,1.000,0.00,0.00,15.90,0.24,0.00,5.98,15.00,271.46,4.16,5574,100.0,75.29
24.835,2.85,1.000,0.00,0.00,15.67,0.07,0.00,5.98,15.00,271.88,4.16,5813,100.0,75.69
25.165,2.82,1.000,0.00,0.00,15.49,0.11,0.00,5.98,15.50,274.96,4.18,5930,100.0,75.69
25.503,2.78,1.000,0.00,0.00,15.35,-0.18,0.00,5.98,15.50,279.45,4.20,6114,100.0,75.69
25.836,2.74,1.000,0.00,0.00,15.09,-0.11,0.00,5.98,16.00,277.20,4.18,6176,100.0,74.12
26.165,2.68,1.000,0.00,0.00,14.83,-0.37,0.00,5.98,16.50,281.69,4.22,6279,100.0,71.76
26.498,2.63,1.000,0.00,0.00,14.56,-0.08,0.00,5.92,16.50,280.01,4.20,6403,100.0,70.59
26.840,1.00,1.000,0.00,0.00,-4.77,-2.80,-0.78,0.00,4.00,22.46,2.08,6182,12.2,0.00
27.163,0.18,1.000,0.00,0.00,-11.07,0.33,-0.78,0.00,4.00,16.32,1.86,5425,12.2,0.00
27.505,0.21,1.000,0.00,0.00,-11.23,0.09,-0.78,0.00,4.00,18.27,1.94,4670,12.9,0.00
27.834,0.23,1.000,0.00,0.00,-11.30,0.24,-0.78,0.00,24.00,18.35,1.92,4690,12.9,0.00
28.165,0.22,1.000,0.00,0.00,-11.38,0.26,-0.78,0.00,24.00,17.09,1.90,4633,12.9,0.00
28.497,0.22,1.000,0.00,0.00,-11.46,0.27,-0.78,0.00,24.00,17.09,1.88,4556,12.9,0.00
28.835,0.22,1.000,0.00,0.00,-11.51,0.28,-0.78,0.00,24.00,16.70,1.88,4528,12.5,0.00
29.166,0.22,1.000,0.00,0.00,-11.55,0.29,-0.78,0.00,24.00,15.71,1.84,4208,12.2,0.00
29.503,0.24,1.000,0.00,0.00,-10.89,-0.14,-0.78,0.00,24.00,14.35,1.80,3465,11.4,0.00
29.837,0.25,1.000,0.00,0.00,-10.43,-0.62,-0.78,0.00,24.00,11.60,1.70,2796,10.2,0.00
30.171,0.23,1.000,0.00,0.00,-10.65,-0.36,-0.78,0.00,24.00,9.90,1.62,2788,9.0,0.00
30.504,0.18,1.000,0.00,0.00,-11.12,0.09,1.56,0.00,24.00,9.41,1.60,3125,9.0,0.00
30.837,0.18,1.000,0.00,0.00,-11.14,0.09,1.56,0.00,24.00,9.51,1.60,3081,9.0,0.00
31.172,0.18,1.000,0.00,0.00,-11.09,0.04,1.56,0.00,24.00,9.51,1.62,3034,9.0,0.00
31.500,0.19,1.000,0.00,0.00,-11.04,0.00,1.56,0.00,24.00,9.41,1.60,3062,9.0,0.00
31.837,0.19,1.000,0.00,0.00,-11.02,-0.02,1.56,0.00,24.00,9.55,1.62,2993,9.0,0.00
32.167,0.19,1.000,0.00,0.00,-11.13,0.07,1.56,0.00,24.00,9.31,1.60,2953,8.6,0.00
32.500,0.19,1.000,0.00,0.00,-11.16,0.11,1.56,0.00,24.00,9.36,1.60,2881,8.6,0.00
32.852,0.19,1.000,0.00,0.00,-11.15,0.10,1.56,0.00,24.00,9.41,1.60,2921,8.6,0.00
33.185,0.19,1.000,0.00,0.00,-11.13,0.07,1.56,0.00,24.00,9.31,1.60,2896,8.6,0.00
33.522,0.24,1.000,0.00,0.00,-10.58,1.02,0.78,0.00,27.50,15.33,1.84,2869,13.3,44.71
33.860,0.46,1.000,0.00,0.00,-8.47,0.74,-0.78,0.00,34.50,23.38,2.04,2875,14.9,44.71
34.186,0.42,1.000,0.00,0.00,-9.01,-0.10,-0.78,0.00,33.50,18.15,1.92,2860,12.9,44.71
