Time (sec),Calculated Load (g/rev),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Boost (PSI),TD Boost Error (PSI),A/F Learning 1 (%),Dynamic Adv. (°),Ignition Timing (°),MAF (g/s),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%)
0.000,0.27,1.000,0.00,0.00,-10.00,0.30,0.78,0.00,11.50,3.69,1.22,948,3.9,0.00
0.345,0.27,1.000,0.00,0.00,-10.04,3.27,0.78,0.00,16.50,5.67,1.42,920,6.3,0.00
0.680,0.37,1.000,0.00,0.00,-9.08,3.22,1.56,0.00,2.00,6.90,1.46,1003,6.7,0.00
1.036,0.40,1.000,0.00,0.00,-8.80,3.52,1.56,0.00,31.50,7.16,1.48,1024,7.8,0.00
1.373,0.53,1.000,0.00,0.00,-7.38,3.96,0.78,0.24,37.00,11.05,1.66,1086,9.4,0.00
1.708,0.61,1.000,0.00,0.00,-5.97,6.10,-0.78,1.24,32.50,15.22,1.86,1102,15.3,0.00
2.037,0.91,1.000,0.00,0.00,-2.60,4.08,-0.78,4.65,12.50,20.05,1.96,1221,16.9,89.80
2.368,0.95,1.000,0.00,0.00,-2.91,3.92,-0.78,4.00,16.00,24.83,2.06,1484,18.0,89.80
2.704,1.00,1.000,0.00,0.00,-3.13,4.66,-0.78,4.23,20.50,29.87,2.16,1818,18.8,82.35
3.039,0.92,1.000,0.00,0.00,-3.94,-3.21,-0.78,3.17,26.00,16.99,1.80,1989,9.8,73.33
3.370,0.35,1.000,0.00,0.00,-9.91,-1.23,-0.78,0.00,19.50,6.46,1.44,2035,5.9,0.00
3.705,0.20,1.000,0.00,0.00,-11.15,0.58,0.78,0.00,27.50,5.12,1.36,1738,5.9,0.00
4.035,0.22,1.000,0.00,0.00,-10.86,-0.70,1.56,0.00,22.50,5.56,1.38,1412,5.5,0.00
4.372,0.28,1.000,0.00,0.00,-10.15,1.74,1.56,0.00,-0.50,6.94,1.52,1250,8.6,0.00
4.703,0.43,1.000,0.00,0.00,-8.63,1.21,0.78,0.00,36.00,10.10,1.64,1164,9.0,0.00
5.042,0.49,1.000,0.00,0.00,-7.98,1.01,1.56,0.00,39.50,10.04,1.64,1182,9.0,0.00
5.371,0.63,1.000,0.00,0.00,-6.15,1.98,-0.78,1.64,30.00,17.10,1.88,1268,13.3,0.00
5.700,0.73,1.000,0.00,0.00,-5.01,0.54,-0.78,2.54,24.00,16.72,1.86,1285,13.3,0.00
6.040,0.75,1.000,0.00,0.00,-4.44,-0.16,-0.78,2.59,23.00,16.34,1.86,1354,13.3,0.00
6.373,0.53,1.000,0.00,0.00,-7.78,2.44,0.78,0.00,36.00,9.83,1.68,1393,9.8,0.00
6.706,0.31,1.000,0.00,0.00,-9.99,-1.79,0.78,0.00,17.00,5.36,1.36,1557,5.1,0.00
7.033,0.22,1.000,0.00,0.00,-10.97,-0.40,0.78,0.00,7.50,4.93,1.34,1295,5.5,0.00
7.367,0.26,1.000,0.00,0.00,-10.38,-0.13,0.78,0.00,15.00,5.49,1.36,1025,5.9,0.00
7.721,0.31,1.000,0.00,0.00,-9.77,0.75,0.78,0.00,2.50,5.89,1.44,918,6.7,0.00
8.056,0.48,1.000,0.00,0.00,-7.68,2.33,0.78,0.00,34.00,11.61,1.70,857,10.2,0.00
8.389,0.93,1.000,0.00,0.00,-2.72,1.45,-0.78,6.42,9.00,21.54,2.02,936,23.1,89.80
8.757,1.15,1.000,0.00,0.00,-0.80,-9.45,-0.78,6.05,7.50,12.53,1.50,1072,6.3,0.00
9.086,0.45,1.000,0.00,0.00,-8.60,-3.09,0.78,0.00,10.00,4.33,1.30,1570,4.7,0.00
9.411,0.25,1.000,0.00,0.00,-10.53,-0.67,0.78,0.00,-2.00,4.72,1.30,1177,4.7,0.00
9.748,0.38,1.000,0.00,0.00,-8.55,5.73,0.78,0.00,10.00,24.27,2.10,1318,18.4,89.80
