Time (sec),Calculated Load (g/rev),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Boost (PSI),TD Boost Error (PSI),A/F Learning 1 (%),Dynamic Adv. (°),Ignition Timing (°),MAF (g/s),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%)
0.000,0.71,1.000,0.00,0.00,-5.71,0.31,-0.78,2.20,24.00,28.46,2.14,2342,17.3,60.00
0.321,0.73,1.000,0.00,0.00,-5.48,0.01,-0.78,2.31,23.00,28.47,2.14,2366,16.9,59.61
0.658,0.73,1.000,0.00,0.00,-5.41,4.82,-0.78,2.43,23.50,33.96,2.30,2411,23.1,58.43
0.986,1.19,1.000,0.00,0.00,-0.87,18.20,0.00,4.91,20.50,52.51,2.58,2472,32.5,70.20
1.320,1.29,1.000,0.00,0.00,-0.04,17.59,0.00,4.93,20.00,55.46,2.64,2539,33.7,68.63
1.653,1.49,1.000,0.00,0.00,1.86,16.05,0.00,5.80,18.00,74.29,2.84,2602,100.0,72.94
1.990,1.74,1.000,0.00,0.00,4.04,13.88,0.00,6.22,17.50,82.55,2.90,2698,100.0,70.98
2.327,1.94,1.000,0.00,0.00,5.81,11.92,0.00,6.61,16.00,95.19,3.06,2868,100.0,68.63
2.658,2.17,1.000,0.00,0.00,8.08,9.77,0.00,6.51,14.00,112.32,3.20,2944,100.0,69.02
2.987,2.48,1.000,0.00,0.00,10.99,6.93,0.00,6.27,13.00,130.73,3.36,3084,100.0,69.02
3.320,2.80,1.000,0.00,0.00,14.05,3.98,0.00,5.99,13.50,151.29,3.56,3249,100.0,69.41
3.656,2.93,1.000,0.00,0.00,15.35,2.50,0.00,5.98,13.00,167.52,3.64,3446,65.5,67.84
3.987,2.78,1.000,0.00,0.00,13.98,4.26,0.00,5.98,13.50,152.85,3.56,3596,45.5,58.43
4.328,2.53,1.000,0.00,0.00,11.78,6.18,0.00,5.89,14.00,152.11,3.52,3738,45.1,58.82
4.655,2.44,1.000,0.00,0.00,10.98,6.94,0.00,5.76,14.50,157.24,3.56,3845,44.7,59.22
4.994,2.42,1.000,0.00,0.00,10.66,7.22,0.00,5.63,15.00,158.34,3.56,4028,42.0,59.61
5.327,2.36,1.000,0.00,0.00,9.85,8.16,0.00,5.62,15.50,164.63,3.60,4203,42.4,60.00
5.657,2.81,1.000,0.00,0.00,14.07,3.56,0.00,5.98,14.00,214.18,3.86,4320,100.0,72.16
5.986,3.10,1.000,0.00,0.00,16.89,1.54,0.00,5.98,14.50,209.20,3.84,4436,45.9,60.78
6.323,2.47,1.000,0.00,0.00,10.78,7.14,0.00,5.76,15.50,183.24,3.70,4551,44.7,61.57
6.654,1.69,1.000,0.00,0.00,1.61,-7.81,0.00,5.36,8.00,56.82,2.56,4629,14.5,0.00
6.994,0.29,1.000,0.00,0.00,-10.06,-0.92,-0.78,0.00,8.00,16.86,1.88,3861,11.8,0.00
7.323,0.25,1.000,0.00,0.00,-9.92,-1.02,-0.78,0.00,4.00,13.21,1.76,3190,10.6,0.00
7.655,0.23,1.000,0.00,0.00,-10.30,-0.61,-0.78,0.00,24.00,10.84,1.66,3342,9.8,0.00
7.995,0.18,1.000,0.00,0.00,-11.06,0.12,0.00,0.00,24.00,9.94,1.64,3340,9.0,0.00
8.324,0.18,1.000,0.00,0.00,-11.11,0.13,0.00,0.00,24.00,10.04,1.64,3379,9.0,0.00
8.655,0.18,1.000,0.00,0.00,-11.10,0.18,0.00,0.00,24.00,10.09,1.64,3390,9.0,0.00
8.995,0.18,1.000,0.00,0.00,-11.08,0.15,0.00,0.00,24.00,9.90,1.64,3312,9.0,0.00
9.325,0.18,1.000,0.00,0.00,-11.08,0.13,-0.78,0.00,24.00,9.99,1.64,3320,9.0,0.00
9.658,0.18,1.000,0.00,0.00,-11.16,0.21,0.00,0.00,24.00,9.75,1.62,3219,9.0,0.00
